0.00,-0.00,0.00
-0.09,-0.07,-0.00
-0.06,-0.11,-0.00
-0.10,-0.03,-0.01
-0.14,-0.02,-0.01
-0.06,-0.13,-0.01
-0.05,-0.08,-0.47
0.04,-0.11,-0.92
0.10,-0.07,-1.36
-0.15,-0.11,-1.79
-0.23,0.15,-2.21
-0.12,0.06,-2.61
-0.17,0.14,-3.01
-0.23,0.15,-3.40
-0.27,0.15,-3.79
-0.12,0.09,-4.16
-0.07,-0.03,-4.53
-0.04,-0.07,-4.88
-0.11,-0.07,-5.33
-0.10,-0.06,-5.76
-0.18,-0.12,-6.21
-0.27,-0.15,-6.62
-0.31,-0.14,-7.02
-0.17,-0.06,-7.41
-0.11,0.06,-7.73
-0.13,0.01,-8.04
-0.03,-0.00,-8.34
0.10,-0.05,-8.64
0.11,-0.00,-8.93
0.09,0.14,-9.21
0.13,0.15,-9.53
0.16,0.14,-9.84
0.03,0.09,-10.14
0.07,0.09,-10.44
0.17,0.16,-10.72
0.22,0.03,-11.00
0.15,-0.11,-11.31
-0.12,0.07,-11.64
-0.09,0.15,-11.95
0.09,0.18,-12.25
0.02,0.10,-12.53
0.01,0.24,-12.82
0.01,0.34,-12.96
-0.07,0.19,-13.10
-0.18,0.20,-13.23
-0.20,0.17,-13.36
-0.41,0.15,-13.50
-0.35,0.12,-13.63
-0.38,0.18,-13.65
-0.27,0.23,-13.67
-0.17,0.32,-13.70
-0.12,0.34,-13.72
-0.18,0.30,-13.74
-0.18,0.43,-13.77
-0.03,0.16,-13.88
-0.07,0.14,-14.00
-0.25,0.25,-14.11
-0.38,0.28,-14.22
-0.43,0.42,-14.33
-0.50,0.29,-14.43
-0.55,0.21,-14.53
-0.59,0.35,-14.64
-0.55,0.34,-14.74
-0.36,0.42,-14.84
-0.43,0.40,-14.94
-0.55,0.27,-15.03
-0.54,0.22,-15.15
-0.60,0.24,-15.26
-0.45,0.09,-15.37
-0.46,0.08,-15.47
-0.32,0.20,-15.58
-0.43,-0.06,-15.68
-0.41,-0.12,-15.74
-0.31,-0.11,-15.79
-0.24,0.03,-15.84
-0.29,-0.02,-15.89
-0.32,0.09,-15.94
-0.29,0.08,-15.99
-0.31,-0.06,-16.02
-0.17,-0.02,-16.05
-0.31,-0.06,-16.08
-0.34,0.01,-16.11
-0.24,0.17,-16.14
-0.26,0.02,-16.17
-0.15,0.11,-16.20
-0.11,0.02,-16.22
-0.08,0.01,-16.26
-0.03,0.02,-16.29
-0.18,-0.10,-16.32
-0.15,-0.16,-16.35
0.01,-0.01,-16.37
0.10,-0.03,-16.39
0.17,0.02,-16.41
0.09,0.01,-16.43
0.01,0.01,-16.44
-0.14,0.10,-16.46
0.02,0.20,-16.53
0.08,0.30,-16.59
-0.17,0.10,-16.65
-0.20,0.08,-16.71
-0.07,-0.01,-16.77
